,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",4894872,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2,Circles,"Post Malone",3836348,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
3,"Dance Monkey","Tones and I",3741009,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,Lalala,Y2K,2987492,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
5,China,"Anuel AA",2889725,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
6,Ransom,"Lil Tecca",2885715,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
7,"Someone You Loved","Lewis Capaldi",2769674,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
8,"Goodbyes (Feat. Young Thug)","Post Malone",2692660,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
9,"Beautiful People (feat. Khalid)","Ed Sheeran",2657597,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
10,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",2573576,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
11,"bad guy","Billie Eilish",2452834,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
12,"How Do You Sleep?","Sam Smith",2358030,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
13,Saint-Tropez,"Post Malone",2327316,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
14,"I Don't Care (with Justin Bieber)","Ed Sheeran",2228864,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
15,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2187080,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
16,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",2048245,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
17,Panini,"Lil Nas X",2020779,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
18,Callaita,"Bad Bunny",1990751,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
19,"Old Town Road - Remix","Lil Nas X",1975002,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
20,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",1932408,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
21,"LA CANCIÓN","J Balvin",1818671,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
22,"Truth Hurts",Lizzo,1798320,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
23,"Yo x Ti, Tu x Mi",ROSALÍA,1761344,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
24,"No Me Conoce - Remix","Jhay Cortez",1757596,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
25,Tutu,Camilo,1736383,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
26,"Enemies (feat. DaBaby)","Post Malone",1725790,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
27,Liar,"Camila Cabello",1714126,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
28,"boyfriend (with Social House)","Ariana Grande",1647731,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
29,"Hollywood's Bleeding","Post Malone",1638605,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
30,"Adicto (with Anuel AA & Ozuna)",Tainy,1623399,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
31,"No Guidance (feat. Drake)","Chris Brown",1599238,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
32,Memories,"Maroon 5",1494468,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
33,"Otro Trago - Remix",Sech,1466298,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
34,"Money In The Grave (Drake ft. Rick Ross)",Drake,1441023,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
35,"Soltera - Remix",Lunay,1437500,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
