,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",5804672,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2,Circles,"Post Malone",4177525,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
3,"Dance Monkey","Tones and I",4176220,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",4009458,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
5,China,"Anuel AA",3273683,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
6,Saint-Tropez,"Post Malone",3249041,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
7,Lalala,Y2K,3233919,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
8,"Someone You Loved","Lewis Capaldi",3216516,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
9,"Beautiful People (feat. Khalid)","Ed Sheeran",3214119,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
10,"Goodbyes (Feat. Young Thug)","Post Malone",3132102,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
11,Ransom,"Lil Tecca",3122966,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
12,"How Do You Sleep?","Sam Smith",2980713,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
13,"bad guy","Billie Eilish",2908589,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
14,"I Don't Care (with Justin Bieber)","Ed Sheeran",2735135,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
15,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",2616193,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
16,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2591013,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
17,"Hollywood's Bleeding","Post Malone",2545207,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
18,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",2498928,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
19,"Enemies (feat. DaBaby)","Post Malone",2471570,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
20,Callaita,"Bad Bunny",2213972,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
21,Panini,"Lil Nas X",2211809,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
22,"Old Town Road - Remix","Lil Nas X",2191553,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
23,"boyfriend (with Social House)","Ariana Grande",2182549,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
24,"Truth Hurts",Lizzo,2156390,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
25,Liar,"Camila Cabello",2077472,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
26,"Yo x Ti, Tu x Mi",ROSALÍA,2066609,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
27,"LA CANCIÓN","J Balvin",2009445,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
28,"Die For Me (feat. Future & Halsey)","Post Malone",1983126,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK
29,Tutu,Camilo,1982686,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
30,"No Me Conoce - Remix","Jhay Cortez",1932915,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
31,"No Guidance (feat. Drake)","Chris Brown",1911894,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
32,"Adicto (with Anuel AA & Ozuna)",Tainy,1841809,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
33,Lover,"Taylor Swift",1835617,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
34,Graveyard,Halsey,1782183,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
35,"Money In The Grave (Drake ft. Rick Ross)",Drake,1774084,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
36,"On The Road (feat. Meek Mill & Lil Baby)","Post Malone",1754865,https://open.spotify.com/track/12Fkyg9lpmaz2zmKOfw2Y2
37,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,1675903,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
38,"It's You","Ali Gatie",1673590,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
39,"Otro Trago - Remix",Sech,1671852,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
40,"Piece Of Your Heart",MEDUZA,1652503,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
41,"Soltera - Remix",Lunay,1609010,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
42,"Higher Love",Kygo,1580288,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
