,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",6007178,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2,Circles,"Post Malone",4988934,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
3,"Dance Monkey","Tones and I",4765462,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Goodbyes (Feat. Young Thug)","Post Malone",3623256,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
5,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",3614729,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
6,Lalala,Y2K,3613343,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
7,Ransom,"Lil Tecca",3486456,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
8,China,"Anuel AA",3455201,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
9,"Someone You Loved","Lewis Capaldi",3342243,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
10,"Beautiful People (feat. Khalid)","Ed Sheeran",3298494,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
11,Saint-Tropez,"Post Malone",3271697,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
12,"bad guy","Billie Eilish",3014406,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
13,"How Do You Sleep?","Sam Smith",2954392,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
14,"I Don't Care (with Justin Bieber)","Ed Sheeran",2834184,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
15,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2763708,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
16,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",2664915,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
