,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",5803487,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2,Circles,"Post Malone",4902141,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
3,"Dance Monkey","Tones and I",4380471,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Goodbyes (Feat. Young Thug)","Post Malone",3745926,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
5,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",3687896,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
6,Lalala,Y2K,3420924,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
7,Ransom,"Lil Tecca",3349047,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
8,"Someone You Loved","Lewis Capaldi",3315771,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
9,China,"Anuel AA",3252882,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
10,"Beautiful People (feat. Khalid)","Ed Sheeran",3229086,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
11,Saint-Tropez,"Post Malone",3160584,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
12,"bad guy","Billie Eilish",2928265,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
13,"How Do You Sleep?","Sam Smith",2923192,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
14,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2751551,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
15,"I Don't Care (with Justin Bieber)","Ed Sheeran",2750899,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
16,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",2518265,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
17,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",2457476,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
18,"Hollywood's Bleeding","Post Malone",2386440,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
19,"Enemies (feat. DaBaby)","Post Malone",2370587,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
